instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,label
26747481.0,19788.0,450480.0,99428.0,5.0,129,528384,0,0,0,5862360,0,0,1
32272562.0,21288.0,1091620.0,131855.0,7.0,125,512000,0,0,0,6867019,0,0,1
34688987.0,22691.0,799976.0,154285.0,0.0,98,825344,0,0,0,4767582,0,0,1
14712006.0,34490.0,478026.0,96351.0,2.0,93,380928,0,0,0,4999758,0,0,1
15618154.0,24125.0,928377.0,153869.0,0.0,81,418816,0,0,0,5598998,0,0,1
15316752.0,21518.0,1038079.0,167672.0,1.0,145,606208,0,0,0,6689523,0,0,1
14228132.0,13531.0,1393465.0,204537.0,1.0,112,471040,0,0,0,6197510,0,0,1
26212122.0,31174.0,1313804.0,120730.0,1.0,81,360448,0,0,0,4488509,0,0,1
27997232.0,11000.0,898768.0,109332.0,0.0,95,543744,0,0,0,4981008,0,0,1
26556498.0,12638.0,1120262.0,92375.0,2.0,147,602112,0,0,0,8076080,0,0,1
28207003.0,44215.0,790644.0,110210.0,0.0,132,574464,0,0,0,7118260,0,0,1
28067751.0,67257.0,512269.0,90819.0,1.0,123,766464,0,0,0,6489825,0,0,1
21034749.0,66120.0,726544.0,103742.0,0.0,106,526336,0,0,0,4660048,0,0,1
28654950.0,64914.0,319084.0,99834.0,0.0,77,343040,0,0,0,4022908,0,0,1
27721147.0,68772.0,39090.0,61210.0,1.0,123,516096,0,0,0,5974356,0,0,1
28133944.0,15464.0,3889.0,86005.0,0.0,94,643072,0,0,0,5352616,0,0,1
28466970.0,20676.0,278764.0,142548.0,1.0,119,487424,0,0,0,5635780,0,0,1
28299076.0,26359.0,77436.0,208716.0,1.0,102,417792,0,0,0,6227326,0,0,1
14646249.0,15143.0,226150.0,101440.0,0.0,61,253952,0,0,0,3626616,0,0,1
19411860.0,23378.0,129369.0,102275.0,0.0,61,249856,0,0,0,3623670,0,0,1
19054733.0,15326.0,3675.0,100360.0,0.0,67,1323008,0,0,0,4116677,0,0,1
19984462.0,25375.0,521539.0,98752.0,0.0,118,483328,0,0,0,6900341,0,0,1
17971472.0,9895.0,649152.0,138902.0,1.0,73,299008,0,0,0,5589373,0,0,1
19822262.0,41520.0,1191159.0,183376.0,1.0,95,497152,0,0,0,5291189,0,0,1
15314011.0,35239.0,1414761.0,117771.0,0.0,79,323584,0,0,0,4983176,0,0,1
15745521.0,61116.0,561523.0,120870.0,1.0,77,315392,0,0,0,5034337,0,0,1
